시군명,읍면동명,등록동물수(마리),(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록소유자수,데이터기준일자,,,,
안성시,발화동,6,3,1,2,4,2021-09-06,,,,
안성시,보개면,410,227,116,67,220,2021-09-06,,,,
안성시,봉남동,38,15,17,6,28,2021-09-06,,,,
안성시,봉산동,140,83,43,14,102,2021-09-06,,,,
안성시,사곡동,14,3,4,7,8,2021-09-06,,,,
안성시,삼죽면,221,123,42,56,120,2021-09-06,,,,
안성시,서운면,342,81,70,191,209,2021-09-06,,,,
안성시,서인동,28,8,6,14,15,2021-09-06,,,,
안성시,석정동,252,112,86,54,206,2021-09-06,,,,
안성시,성남동,33,14,7,12,25,2021-09-06,,,,
안성시,숭인동,115,51,50,14,90,2021-09-06,,,,
안성시,신건지동,62,35,15,12,51,2021-09-06,,,,
안성시,신모산동,3,0,3,0,2,2021-09-06,,,,
안성시,신소현동,138,64,58,16,110,2021-09-06,,,,
안성시,신흥동,33,15,7,11,20,2021-09-06,,,,
안성시,아양동,275,141,74,60,212,2021-09-06,,,,
안성시,양성면,325,138,89,98,175,2021-09-06,,,,
안성시,연지동,25,18,5,2,19,2021-09-06,,,,
안성시,영동,27,15,10,2,23,2021-09-06,,,,
안성시,옥산동,165,67,56,42,133,2021-09-06,,,,
안성시,옥천동,29,11,10,8,22,2021-09-06,,,,
안성시,원곡면,415,192,111,112,236,2021-09-06,,,,
안성시,인지동,59,28,13,18,41,2021-09-06,,,,
안성시,일죽면,430,275,98,57,261,2021-09-06,,,,
안성시,죽산면,410,229,102,79,209,2021-09-06,,,,
안성시,중리동,156,64,52,40,114,2021-09-06,,,,
안성시,창전동,26,14,8,4,23,2021-09-06,,,,
안성시,합계,9975,4836,3030,2109,6805,2021-09-06,,,,
안성시,현수동,33,15,10,8,25,2021-09-06,,,,
안양시,관양동,4781,3062,1218,501,3763,2021-08-20,,,,
안양시,박달동,2434,1467,759,208,1895,2021-08-20,,,,
안양시,비산동,5189,3377,1379,433,4189,2021-08-20,,,,
안양시,석수동,3884,2322,1246,316,3008,2021-08-20,,,,
안양시,안양동,10261,7009,2485,767,7740,2021-08-20,,,,
안양시,평촌동,3219,2143,670,406,2739,2021-08-20,,,,
안양시,호계동,5876,3875,1470,531,4757,2021-08-20,,,,
양주시,고암동,1178,582,518,78,877,2022-07-20,,,,
양주시,고읍동,753,391,325,37,545,2022-07-20,,,,
양주시,광사동,915,435,406,74,687,2022-07-20,,,,
양주시,광적면,768,493,223,52,448,2022-07-20,,,,
양주시,남면,370,196,133,41,261,2022-07-20,,,,
양주시,남방동,83,32,38,13,49,2022-07-20,,,,
양주시,덕계동,1548,751,583,214,1136,2022-07-20,,,,
양주시,덕정동,1184,581,519,84,875,2022-07-20,,,,
양주시,마전동,40,19,21,0,23,2022-07-20,,,,
양주시,만송동,778,382,356,40,580,2022-07-20,,,,
양주시,백석읍,1730,986,631,113,1217,2022-07-20,,,,
양주시,봉양동,66,23,25,18,46,2022-07-20,,,,
양주시,산북동,170,72,78,20,117,2022-07-20,,,,
양주시,삼숭동,1346,613,622,111,1020,2022-07-20,,,,
양주시,어둔동,28,11,7,10,11,2022-07-20,,,,
양주시,옥정동,2822,1287,1264,271,2135,2022-07-20,,,,
양주시,유양동,80,50,27,3,39,2022-07-20,,,,
양주시,율정동,39,24,13,2,28,2022-07-20,,,,
양주시,은현면,311,167,112,32,198,2022-07-20,,,,
양주시,장흥면,707,394,264,49,421,2022-07-20,,,,
양주시,회암동,71,50,20,1,33,2022-07-20,,,,
양주시,회정동,417,191,138,88,293,2022-07-20,,,,
양평군,강상면,1233,538,317,378,772,2022-09-07,,,,
양평군,강하면,1372,1053,173,146,360,2022-09-07,,,,
양평군,개군면,506,245,167,94,303,2022-09-07,,,,
양평군,단월면,419,205,88,126,228,2022-09-07,,,,
양평군,서종면,1249,689,366,194,692,2022-09-07,,,,
양평군,양동면,469,188,103,178,220,2022-09-07,,,,
양평군,양서면,1237,702,392,143,748,2022-09-07,,,,
양평군,양평읍,2729,1400,775,554,1678,2022-09-07,,,,
양평군,옥천면,935,470,297,168,573,2022-09-07,,,,
양평군,용문면,1857,878,500,479,1101,2022-09-07,,,,
양평군,지평면,850,450,183,217,395,2022-09-07,,,,
양평군,청운면,435,154,115,166,238,2022-09-07,,,,
여주시,가남읍,636,307,192,137,421,2021-08-31,,,,
여주시,가업동,22,7,2,13,9,2021-08-31,,,,
여주시,강천면,270,70,92,108,157,2021-08-31,,,,
여주시,교동,175,84,53,38,139,2021-08-31,,,,
여주시,금사면,168,55,39,74,96,2021-08-31,,,,
여주시,능서면,424,86,141,197,242,2021-08-31,,,,
여주시,능현동,60,31,17,12,34,2021-08-31,,,,
여주시,단현동,26,8,8,10,16,2021-08-31,,,,
여주시,대신면,239,72,67,100,160,2021-08-31,,,,
여주시,매룡동,21,4,7,10,12,2021-08-31,,,,
여주시,멱곡동,72,29,22,21,48,2021-08-31,,,,
여주시,북내면,230,73,102,55,138,2021-08-31,,,,
여주시,산북면,170,54,29,87,98,2021-08-31,,,,
여주시,삼교동,38,16,8,14,23,2021-08-31,,,,
여주시,상거동,10,2,1,7,5,2021-08-31,,,,
여주시,상동,147,74,42,31,99,2021-08-31,,,,
여주시,신진동,11,4,1,6,9,2021-08-31,,,,
여주시,연라동,53,7,23,23,24,2021-08-31,,,,
여주시,연양동,94,35,42,17,66,2021-08-31,,,,
여주시,오금동,10,5,3,2,7,2021-08-31,,,,
여주시,오학동,278,116,83,79,187,2021-08-31,,,,
여주시,우만동,9,5,3,1,9,2021-08-31,,,,
여주시,월송동,171,81,61,29,118,2021-08-31,,,,
여주시,점동면,268,53,102,113,119,2021-08-31,,,,
여주시,점봉동,270,140,81,49,205,2021-08-31,,,,
여주시,창동,127,56,42,29,87,2021-08-31,,,,
여주시,천송동,181,65,64,52,126,2021-08-31,,,,
여주시,하거동,17,9,6,2,10,2021-08-31,,,,
여주시,하동,224,90,64,70,160,2021-08-31,,,,
여주시,현암동,309,137,85,87,218,2021-08-31,,,,
여주시,홍문동,301,135,117,49,201,2021-08-31,,,,
여주시,흥천면,221,69,100,52,122,2021-08-31,,,,
연천군,군남면,80,83,52,7,86,2022-06-05,,,,
연천군,미산면,139,84,47,8,62,2022-06-05,,,,
연천군,백학면,89,49,32,8,59,2022-06-05,,,,
연천군,신서면,106,70,30,6,72,2022-06-05,,,,
연천군,연천읍,288,150,125,13,192,2022-06-05,,,,
연천군,왕징면,33,30,3,0,20,2022-06-05,,,,
연천군,장남면,33,20,13,0,22,2022-06-05,,,,
연천군,전곡읍,976,483,452,41,709,2022-06-05,,,,
연천군,중면,13,6,6,1,8,2022-06-05,,,,
연천군,청산면,263,107,139,17,154,2022-06-05,,,,
오산시,가수동,333,202,113,18,233,2022-03-14,,,,
오산시,가장동,19,9,7,3,14,2022-03-14,,,,
오산시,갈곶동,720,448,234,38,561,2022-03-14,,,,
오산시,고현동,236,137,87,12,176,2022-03-14,,,,
오산시,궐동,1853,1011,765,77,1382,2022-03-14,,,,
오산시,금암동,1450,927,471,52,1103,2022-03-14,,,,
오산시,내삼미동,624,351,238,35,468,2022-03-14,,,,
오산시,누읍동,451,244,186,21,343,2022-03-14,,,,
오산시,두곡동,9,3,4,2,9,2022-03-14,,,,
오산시,벌음동,17,13,4,0,14,2022-03-14,,,,
오산시,부산동,883,506,322,55,702,2022-03-14,,,,
오산시,서동,251,152,92,7,201,2022-03-14,,,,
오산시,서랑동,24,10,14,0,17,2022-03-14,,,,
오산시,세교동,477,300,144,33,340,2022-03-14,,,,
오산시,수청동,894,486,350,58,682,2022-03-14,,,,
오산시,양산동,571,319,211,41,443,2022-03-14,,,,
오산시,오산동,1435,910,473,52,1087,2022-03-14,,,,
오산시,외삼미동,317,176,122,19,226,2022-03-14,,,,
오산시,원동,2606,1616,861,129,2036,2022-03-14,,,,
오산시,은계동,337,204,118,15,249,2022-03-14,,,,
오산시,지곶동,290,154,114,22,215,2022-03-14,,,,
오산시,청학동,177,109,56,12,129,2022-03-14,,,,
오산시,청호동,471,249,190,32,357,2022-03-14,,,,
오산시,탑동,26,18,7,1,17,2022-03-14,,,,
용인시,고기동,326,172,107,47,211,2021-01-01,,,,
용인시,고매동,282,132,103,47,205,2021-01-01,,,,
용인시,공세동,958,457,349,152,699,2021-01-01,,,,
용인시,구갈동,1581,735,553,293,1259,2021-01-01,,,,
용인시,남사면,808,437,287,84,516,2021-01-01,,,,
용인시,농서동,161,83,65,13,123,2021-01-01,,,,
용인시,동백동,1390,624,420,346,1103,2021-01-01,,,,
용인시,동부동,697,327,292,78,517,2021-01-01,,,,
용인시,동천동,1628,742,586,300,1307,2021-01-01,,,,
용인시,마북동,1452,764,470,218,1154,2021-01-01,,,,
용인시,모현읍,1244,660,414,170,849,2021-01-01,,,,
용인시,백암면,503,370,111,22,279,2021-01-01,,,,
용인시,보라동,1286,529,514,243,1024,2021-01-01,,,,
용인시,보정동,1759,939,556,264,1392,2021-01-01,,,,
용인시,상갈동,465,213,172,80,371,2021-01-01,,,,
용인시,상하동,1285,594,388,303,982,2021-01-01,,,,
용인시,상현동,4031,2054,1211,766,3259,2021-01-01,,,,
용인시,서천동,727,383,232,112,565,2021-01-01,,,,
용인시,성복동,2826,1675,761,390,2026,2021-01-01,,,,
용인시,신갈동,1583,731,503,349,1268,2021-01-01,,,,
용인시,신봉동,2053,1177,581,295,1592,2021-01-01,,,,
용인시,양지면,1542,932,418,192,848,2021-01-01,,,,
용인시,언남동,825,438,280,107,672,2021-01-01,,,,
용인시,역삼동,1725,880,665,180,1332,2021-01-01,,,,
용인시,영덕동,1800,736,788,276,1402,2021-01-01,,,,
용인시,원삼면,673,425,197,51,398,2021-01-01,,,,
용인시,유림동,1858,870,806,182,1397,2021-01-01,,,,
용인시,이동읍,1112,632,321,159,802,2021-01-01,,,,
용인시,죽전동,3533,1960,1111,462,2893,2021-01-01,,,,
용인시,중동,1995,1082,545,368,1584,2021-01-01,,,,
용인시,중앙동,1330,714,505,111,1002,2021-01-01,,,,
용인시,지곡동,254,102,114,38,158,2021-01-01,,,,
용인시,청덕동,721,326,234,161,571,2021-01-01,,,,
용인시,포곡읍,1751,885,741,125,1291,2021-01-01,,,,
용인시,풍덕천동,3826,1976,1098,752,3131,2021-01-01,,,,
용인시,하갈동,237,98,89,50,166,2021-01-01,,,,
의왕시,고천동,171,84,48,39,141,2021-06-18,,,,
의왕시,내손동,1910,987,533,390,1473,2021-06-18,,,,
의왕시,삼동,927,584,243,101,704,2021-06-18,,,,
의왕시,오전동,1505,756,401,348,1202,2021-06-18,,,,
의왕시,왕곡동,367,202,87,78,250,2021-06-18,,,,
의왕시,월암동,43,16,17,10,21,2021-06-18,,,,
의왕시,이동,61,35,15,11,44,2021-06-18,,,,
의왕시,청계동,392,188,142,62,303,2021-06-18,,,,
의왕시,초평동,57,29,12,16,33,2021-06-18,,,,
의왕시,포일동,910,426,308,176,724,2021-06-18,,,,
의왕시,학의동,247,126,82,39,187,2021-06-18,,,,
의정부시,,58997,12679,31835,14483,,2021-09-01,,,,
이천시,갈산동,717,393,250,74,530,2022-07-29,,,,
이천시,고담동,97,43,44,10,72,2022-07-29,,,,
이천시,관고동,408,205,166,37,315,2022-07-29,,,,
이천시,단월동,47,27,13,7,32,2022-07-29,,,,
이천시,대월면,798,402,304,92,555,2022-07-29,,,,
이천시,대포동,87,56,20,11,39,2022-07-29,,,,
이천시,마장면,864,455,307,102,616,2022-07-29,,,,
이천시,모가면,283,187,71,25,135,2022-07-29,,,,
이천시,백사면,869,428,343,98,573,2022-07-29,,,,
이천시,부발읍,2092,1115,793,184,1529,2022-07-29,,,,
이천시,사음동,291,156,111,24,206,2022-07-29,,,,
이천시,설성면,316,119,57,140,128,2022-07-29,,,,
이천시,송정동,779,419,294,66,590,2022-07-29,,,,
이천시,신둔면,1127,613,394,120,700,2022-07-29,,,,
이천시,안흥동,406,224,136,46,305,2022-07-29,,,,
이천시,율면,123,76,35,12,60,2022-07-29,,,,
이천시,율현동,22,14,7,1,16,2022-07-29,,,,
이천시,장록동,53,21,24,8,32,2022-07-29,,,,
이천시,장호원읍,698,360,217,121,431,2022-07-29,,,,
이천시,중리동,481,259,172,50,358,2022-07-29,,,,
이천시,증일동,76,35,39,2,56,2022-07-29,,,,
이천시,증포동,982,490,419,73,768,2022-07-29,,,,
이천시,진리동,43,26,15,2,27,2022-07-29,,,,
이천시,창전동,1173,651,445,77,902,2022-07-29,,,,
이천시,호법면,315,157,123,35,205,2022-07-29,,,,
파주시,검산동,246,142,89,15,171,2021-06-16,,,,
파주시,광탄면,591,355,187,49,332,2021-06-16,,,,
파주시,교하동,204,122,77,5,48,2021-06-16,,,,
파주시,교하읍,509,505,4,0,410,2021-06-16,,,,
파주시,군내면,6,2,4,0,5,2021-06-16,,,,
파주시,금능동,43,28,15,0,36,2021-06-16,,,,
파주시,금릉동,164,102,54,8,118,2021-06-16,,,,
파주시,금촌동,2809,1707,899,203,2086,2021-06-16,,,,
파주시,다율동,461,259,165,37,351,2021-06-16,,,,
파주시,당하동,72,46,19,7,44,2021-06-16,,,,
파주시,동패동,2056,1134,801,121,1513,2021-06-16,,,,
파주시,맥금동,23,10,9,4,21,2021-06-16,,,,
파주시,목동동,2682,1592,911,179,2049,2021-06-16,,,,
파주시,문발동,501,303,174,24,357,2021-06-16,,,,
파주시,문산읍,2236,1231,885,120,1591,2021-06-16,,,,
파주시,법원읍,592,395,154,43,353,2021-06-16,,,,
파주시,산남동,135,88,38,9,75,2021-06-16,,,,
파주시,상지석동,298,169,101,28,197,2021-06-16,,,,
파주시,서패동,30,23,7,0,20,2021-06-16,,,,
파주시,송촌동,55,45,10,0,19,2021-06-16,,,,
파주시,신촌동,44,20,17,7,28,2021-06-16,,,,
파주시,아동동,819,454,280,85,616,2021-06-16,,,,
파주시,야당동,2818,1749,853,216,1998,2021-06-16,,,,
파주시,야동동,267,153,98,16,206,2021-06-16,,,,
파주시,연다산동,32,16,14,2,20,2021-06-16,,,,
파주시,오도동,48,30,16,2,22,2021-06-16,,,,
파주시,와동동,2575,1690,726,159,1439,2021-06-16,,,,
파주시,월롱면,395,244,127,24,257,2021-06-16,,,,
파주시,적성면,224,134,62,28,167,2021-06-16,,,,
파주시,조리읍,1354,735,461,158,959,2021-06-16,,,,
파주시,진동면,7,7,0,0,3,2021-06-16,,,,
파주시,탄현면,888,524,282,82,558,2021-06-16,,,,
파주시,파주읍,700,404,199,97,419,2021-06-16,,,,
파주시,파평면,134,72,51,11,75,2021-06-16,,,,
파주시,하지석동,39,23,16,0,21,2021-06-16,,,,
평택시,가재동,186,72,57,57,126,2021-08-25,,,,
평택시,고덕면,1245,483,350,412,787,2021-08-25,,,,
평택시,군문동,210,111,65,34,159,2021-08-25,,,,
평택시,도일동,102,31,23,48,61,2021-08-25,,,,
평택시,독곡동,564,289,178,97,409,2021-08-25,,,,
평택시,동삭동,1391,765,419,207,1031,2021-08-25,,,,
평택시,모곡동,13,5,3,5,10,2021-08-25,,,,
평택시,비전동,3168,1604,1090,474,2450,2021-08-25,,,,
평택시,서정동,2905,1579,897,429,2074,2021-08-25,,,,
평택시,서탄면,259,100,72,87,174,2021-08-25,,,,
평택시,세교동,1314,624,450,240,996,2021-08-25,,,,
평택시,소사동,426,207,118,101,320,2021-08-25,,,,
평택시,신대동,52,26,13,13,36,2021-08-25,,,,
평택시,신장동,1388,778,408,202,969,2021-08-25,,,,
평택시,안중읍,2081,972,741,368,1529,2021-08-25,,,,
평택시,오성면,543,150,106,287,315,2021-08-25,,,,
평택시,용이동,1652,848,540,264,1272,2021-08-25,,,,
평택시,월곡동,43,15,22,6,25,2021-08-25,,,,
평택시,유천동,37,20,8,9,26,2021-08-25,,,,
평택시,이충동,1457,699,572,186,1115,2021-08-25,,,,
평택시,장당동,455,229,177,49,373,2021-08-25,,,,
평택시,장안동,335,158,103,74,259,2021-08-25,,,,
평택시,죽백동,680,327,218,135,515,2021-08-25,,,,
평택시,지산동,1662,889,519,254,1231,2021-08-25,,,,
평택시,지제동,60,24,19,17,36,2021-08-25,,,,
평택시,진위면,777,298,224,255,488,2021-08-25,,,,
평택시,청룡동,22,7,11,4,15,2021-08-25,,,,
평택시,청북면,195,79,102,14,145,2021-08-25,,,,
평택시,청북읍,1137,491,358,288,767,2021-08-25,,,,
평택시,칠괴동,94,35,42,17,61,2021-08-25,,,,
평택시,칠원동,336,160,96,80,232,2021-08-25,,,,
평택시,통복동,450,203,174,73,353,2021-08-25,,,,
평택시,팽성읍,1748,832,452,464,1193,2021-08-25,,,,
평택시,평택동,402,217,127,58,290,2021-08-25,,,,
평택시,포승읍,1310,620,491,199,934,2021-08-25,,,,
평택시,합계,30234,14683,9733,5818,21859,2021-08-25,,,,
평택시,합정동,1245,638,395,212,903,2021-08-25,,,,
평택시,현덕면,290,98,93,99,180,2021-08-25,,,,
포천시,가산면,598,422,120,56,242,2021-08-24,,,,
포천시,관인면,139,46,43,50,91,2021-08-24,,,,
포천시,군내면,739,423,94,222,351,2021-08-24,,,,
포천시,내촌면,257,136,58,63,129,2021-08-24,,,,
포천시,동교동,73,52,18,3,40,2021-08-24,,,,
포천시,선단동,858,623,129,106,532,2021-08-24,,,,
포천시,설운동,68,43,7,18,38,2021-08-24,,,,
포천시,소흘읍,3892,2679,1013,200,1712,2021-08-24,,,,
포천시,신북면,951,625,102,224,530,2021-08-24,,,,
포천시,신읍동,1292,942,116,234,842,2021-08-24,,,,
포천시,어룡동,195,138,25,32,95,2021-08-24,,,,
포천시,영북면,427,229,104,94,286,2021-08-24,,,,
포천시,영중면,489,311,58,120,160,2021-08-24,,,,
포천시,이동면,339,162,68,109,198,2021-08-24,,,,
포천시,일동면,509,280,65,164,306,2021-08-24,,,,
포천시,자작동,63,34,13,16,32,2021-08-24,,,,
포천시,창수면,135,93,8,34,52,2021-08-24,,,,
포천시,화현면,144,73,17,54,83,2021-08-24,,,,
하남시,감북동,160,82,54,24,106,2022-07-31,,,,
하남시,감이동,333,180,124,29,270,2022-07-31,,,,
하남시,감일동,302,159,109,34,211,2022-07-31,,,,
하남시,광암동,40,23,9,8,23,2022-07-31,,,,
하남시,교산동,52,27,18,7,34,2022-07-31,,,,
하남시,덕풍동,4431,2816,1366,249,3353,2022-07-31,,,,
하남시,망월동,4056,2100,1692,264,3110,2022-07-31,,,,
하남시,미사동,94,52,37,5,57,2022-07-31,,,,
하남시,배알미동,13,8,5,0,8,2022-07-31,,,,
하남시,상사창동,67,27,24,16,43,2022-07-31,,,,
하남시,상산곡동,151,92,37,22,88,2022-07-31,,,,
하남시,선동,880,455,361,64,705,2022-07-31,,,,
하남시,신장동,2582,1694,732,156,1961,2022-07-31,,,,
하남시,창우동,1033,676,287,70,791,2022-07-31,,,,
하남시,천현동,222,148,63,11,157,2022-07-31,,,,
하남시,초이동,209,84,68,57,96,2022-07-31,,,,
하남시,초일동,115,47,19,49,54,2022-07-31,,,,
하남시,춘궁동,156,74,47,35,81,2022-07-31,,,,
하남시,풍산동,1249,696,448,105,984,2022-07-31,,,,
하남시,하사창동,53,40,13,0,24,2022-07-31,,,,
하남시,하산곡동,408,130,59,219,143,2022-07-31,,,,
하남시,학암동,978,495,297,186,758,2022-07-31,,,,
하남시,항동,50,18,14,18,28,2022-07-31,,,,
화성시,금곡동,48,25,18,5,28,2022-05-31,,,,
화성시,기산동,853,408,370,75,632,2022-05-31,,,,
화성시,기안동,920,561,271,88,732,2022-05-31,,,,
화성시,남양동,101,41,55,5,82,2022-05-31,,,,
화성시,남양읍,2295,1175,820,300,1610,2022-05-31,,,,
화성시,능동,2942,1561,1197,184,2307,2022-05-31,,,,
화성시,동탄면,120,61,56,3,90,2022-05-31,,,,
화성시,마도면,535,315,153,67,297,2022-05-31,,,,
화성시,매송면,391,181,136,74,278,2022-05-31,,,,
화성시,목동,1268,662,507,99,984,2022-05-31,,,,
화성시,무송동,2,1,1,0,2,2022-05-31,,,,
화성시,문호동,1,0,1,0,1,2022-05-31,,,,
화성시,반송동,4383,2514,1664,205,3459,2022-05-31,,,,
화성시,반월동,1549,810,633,106,1237,2022-05-31,,,,
화성시,반정동,68,47,16,5,43,2022-05-31,,,,
화성시,방교동,127,77,44,6,86,2022-05-31,,,,
화성시,배양동,46,29,9,8,33,2022-05-31,,,,
화성시,병점동,3086,1654,1244,188,2406,2022-05-31,,,,
화성시,봉담읍,5228,2977,1826,425,3887,2022-05-31,,,,
화성시,북양동,9,4,5,0,6,2022-05-31,,,,
화성시,비봉면,370,194,116,60,225,2022-05-31,,,,
화성시,산척동,1680,860,643,177,1296,2022-05-31,,,,
화성시,새솔동,934,435,376,123,726,2022-05-31,,,,
화성시,서신면,401,239,121,41,255,2022-05-31,,,,
화성시,석우동,810,478,288,44,669,2022-05-31,,,,
화성시,송동,417,225,162,30,344,2022-05-31,,,,
화성시,송림동,10,8,2,0,2,2022-05-31,,,,
화성시,송산동,636,301,276,59,447,2022-05-31,,,,
화성시,송산면,601,370,187,44,386,2022-05-31,,,,
화성시,수화동,3,1,2,0,2,2022-05-31,,,,
화성시,신남동,16,3,13,0,14,2022-05-31,,,,
화성시,신동,4,4,0,0,3,2022-05-31,,,,
화성시,신외동,1,0,1,0,1,2022-05-31,,,,
화성시,안녕동,881,461,337,83,600,2022-05-31,,,,
화성시,안석동,2,0,2,0,2,2022-05-31,,,,
화성시,양감면,313,121,121,71,158,2022-05-31,,,,
화성시,영천동,2083,1177,751,155,1421,2022-05-31,,,,
화성시,오산동,1289,654,535,100,1004,2022-05-31,,,,
화성시,우정읍,1116,642,377,97,708,2022-05-31,,,,
화성시,원천동,3,2,0,1,2,2022-05-31,,,,
화성시,장덕동,4,1,3,0,3,2022-05-31,,,,
화성시,장안면,788,463,217,108,400,2022-05-31,,,,
화성시,장전동,2,0,2,0,1,2022-05-31,,,,
화성시,장지동,1214,627,487,100,909,2022-05-31,,,,
화성시,정남면,772,392,308,72,503,2022-05-31,,,,
화성시,중동,40,7,11,22,10,2022-05-31,,,,
화성시,진안동,1856,962,756,138,1360,2022-05-31,,,,
화성시,청계동,2046,1052,879,115,1679,2022-05-31,,,,
화성시,팔탄면,753,345,305,103,412,2022-05-31,,,,
화성시,향남읍,5180,2110,2584,486,3719,2022-05-31,,,,
화성시,활초동,15,4,11,0,11,2022-05-31,,,,
화성시,황계동,52,19,13,20,24,2022-05-31,,,,
